,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"2. Viviendas particulares ocupadas con moradores presentes por cantidad de dormitorios, según comuna.",,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas particulares ocupadas con moradores presentes,0 dormitorios,1 dormitorio,2 dormitorios,3 dormitorios,4 dormitorios,5 dormitorios,6 o más dormitorios,Cantidad de dormitorios no declarado
16,Ñuble,161,Diguillín,16101,Chillán,68.623,148,14.573,27.092,21.166,4.652,790,198,4
16,Ñuble,161,Diguillín,16102,Bulnes,8.668,31,2.324,3.366,2.311,526,83,27,0
16,Ñuble,161,Diguillín,16103,Chillán Viejo,11.522,27,2.087,4.904,3.628,704,140,31,1
16,Ñuble,161,Diguillín,16104,El Carmen,4.966,7,762,1.754,1.781,505,126,31,0
16,Ñuble,161,Diguillín,16105,Pemuco,3.207,9,811,1.130,927,261,51,17,1
16,Ñuble,161,Diguillín,16106,Pinto,4.714,15,1.629,1.743,1.057,212,47,11,0
16,Ñuble,161,Diguillín,16107,Quillón,7.432,12,2.391,2.768,1.795,364,76,25,1
16,Ñuble,161,Diguillín,16108,San Ignacio,6.533,17,1.883,2.331,1.844,400,45,13,0
16,Ñuble,161,Diguillín,16109,Yungay,7.238,9,2.116,2.630,1.902,478,76,26,1
16,Ñuble,162,Itata,16201,Quirihue,4.586,20,1.424,1.808,1.012,262,42,18,0
16,Ñuble,162,Itata,16202,Cobquecura,2.276,9,927,779,440,101,13,7,0
16,Ñuble,162,Itata,16203,Coelemu,5.555,4,1.668,2.013,1.473,305,76,16,0
16,Ñuble,162,Itata,16204,Ninhue,2.296,4,755,792,603,114,21,7,0
16,Ñuble,162,Itata,16205,Portezuelo,2.019,3,708,749,439,98,18,4,0
16,Ñuble,162,Itata,16206,Ránquil,2.586,4,943,956,551,117,12,3,0
16,Ñuble,162,Itata,16207,Trehuaco,2.317,5,615,957,574,148,15,3,0
16,Ñuble,163,Punilla,16301,San Carlos,20.385,32,5.174,8.307,5.389,1.218,209,55,1
16,Ñuble,163,Punilla,16302,Coihueco,10.350,23,2.749,3.948,2.798,692,108,31,1
16,Ñuble,163,Punilla,16303,Ñiquén,4.869,6,1.771,1.766,1.065,216,38,7,0
16,Ñuble,163,Punilla,16304,San Fabián,2.007,3,566,836,476,107,16,3,0
16,Ñuble,163,Punilla,16305,San Nicolás,5.364,11,1.667,2.009,1.315,295,53,14,0
8,Biobío,81,Concepción,8101,Concepción,87.967,820,24.145,32.612,23.296,5.549,1.113,426,6
8,Biobío,81,Concepción,8102,Coronel,41.296,86,7.889,17.078,12.984,2.763,405,90,1
