,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2. Viviendas censadas por tipo de vivienda, según comuna.",,,,,,,,,,,,,,,,
Código región,Región,Código provincia,Provincia,Código comuna,Comuna,Viviendas censadas,Casa con acceso directo desde la calle,Casa en condominio cerrado,Departamento en edificio con ascensor,Departamento en edificio sin ascensor,Vivienda tradicional indígena (ruka u otras),Pieza en casa antigua o conventillo,"Mediagua, mejora, vivienda de emergencia, rancho o choza","Móvil (carpa, casa rodante o similar)",Otro tipo de vivienda particular,Viviendas Colectivas
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6109,Malloa,5.736,5.577,104,0,0,0,0,23,0,32,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6110,Mostazal,10.140,8.677,908,4,488,0,3,24,1,28,7
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6111,Olivar,5.247,4.705,392,1,65,0,12,10,0,60,2
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6112,Peumo,5.305,5.211,36,1,25,0,8,10,0,11,3
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6113,Pichidegua,7.991,7.820,97,0,1,1,7,28,0,35,2
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6114,Quinta de Tilcoco,5.254,5.123,96,0,0,0,6,22,0,7,0
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6115,Rengo,25.136,24.154,290,7,294,1,98,179,1,100,12
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6116,Requínoa,10.491,9.459,920,4,2,0,21,45,1,38,1
6,Libertador General Bernardo O'Higgins,61,Cachapoal,6117,San Vicente,19.278,18.340,486,5,114,2,67,50,2,208,4
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6201,Pichilemu,15.007,13.218,1.581,9,25,5,14,47,7,95,6
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6202,La Estrella,3.678,2.636,1.017,1,1,1,0,9,1,10,2
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6203,Litueche,5.461,5.124,304,1,0,0,0,6,3,21,2
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6204,Marchihue,5.069,4.435,304,1,1,0,2,25,2,298,1
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6205,Navidad,6.597,6.109,453,1,3,1,1,11,1,17,0
6,Libertador General Bernardo O'Higgins,62,Cardenal Caro,6206,Paredones,5.686,4.658,998,0,0,0,2,10,5,13,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6301,San Fernando,31.420,25.814,1.357,291,3.713,4,10,130,3,88,10
6,Libertador General Bernardo O'Higgins,63,Colchagua,6302,Chépica,5.962,5.880,51,2,0,0,0,10,0,18,1
6,Libertador General Bernardo O'Higgins,63,Colchagua,6303,Chimbarongo,14.249,13.806,160,0,190,1,30,28,0,32,2
6,Libertador General Bernardo O'Higgins,63,Colchagua,6304,Lolol,3.718,3.594,100,0,0,0,1,8,0,15,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6305,Nancagua,7.111,6.982,81,1,1,0,5,21,0,15,5
6,Libertador General Bernardo O'Higgins,63,Colchagua,6306,Palmilla,5.132,5.030,62,2,0,0,0,23,0,13,2
6,Libertador General Bernardo O'Higgins,63,Colchagua,6307,Peralillo,5.158,5.034,103,2,0,0,1,6,1,11,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6308,Placilla,3.758,3.670,28,1,8,0,6,29,0,16,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6309,Pumanque,2.567,2.337,91,0,0,0,2,5,4,128,0
6,Libertador General Bernardo O'Higgins,63,Colchagua,6310,Santa Cruz,16.452,14.883,119,80,1.287,1,5,34,2,32,9
7,Maule,71,Talca,7101,Talca,95.397,77.694,2.985,4.564,9.894,8,23,57,1,110,61
7,Maule,71,Talca,7102,Constitución,23.408,16.856,719,19,5.619,3,11,112,1,60,8
7,Maule,71,Talca,7103,Curepto,5.199,5.063,53,3,2,0,1,31,0,43,3
7,Maule,71,Talca,7104,Empedrado,1.892,1.872,8,0,0,0,1,3,0,7,1
7,Maule,71,Talca,7105,Maule,23.296,22.456,760,5,0,1,3,26,1,36,8
7,Maule,71,Talca,7106,Pelarco,4.073,3.637,395,2,0,0,4,13,0,22,0
7,Maule,71,Talca,7107,Pencahue,4.682,4.642,15,0,1,0,0,4,1,17,2
7,Maule,71,Talca,7108,Río Claro,6.279,6.019,199,3,0,1,4,22,0,29,2
7,Maule,71,Talca,7109,San Clemente,22.312,21.217,708,3,2,0,9,41,2,322,8
7,Maule,71,Talca,7110,San Rafael,4.788,4.462,271,0,3,0,2,17,1,30,2
7,Maule,72,Cauquenes,7201,Cauquenes,20.238,19.538,350,5,251,1,2,27,1,53,10
7,Maule,72,Cauquenes,7202,Chanco,4.442,4.257,37,1,0,1,1,8,0,136,1
7,Maule,72,Cauquenes,7203,Pelluhue,7.743,7.490,189,1,0,1,1,24,2,31,4
7,Maule,73,Curicó,7301,Curicó,62.225,56.437,1.875,738,2.812,4,35,129,5,158,32
7,Maule,73,Curicó,7302,Hualañé,5.199,5.121,25,0,14,0,2,22,1,11,3
7,Maule,73,Curicó,7303,Licantén,4.500,4.318,75,2,0,0,1,78,0,24,2
7,Maule,73,Curicó,7304,Molina,18.980,18.692,121,5,1,4,4,28,3,108,14
7,Maule,73,Curicó,7305,Rauco,4.784,4.406,338,1,0,0,1,21,1,15,1
7,Maule,73,Curicó,7306,Romeral,7.233,6.757,310,2,1,0,8,17,1,134,3
7,Maule,73,Curicó,7307,Sagrada Familia,7.533,7.318,114,0,2,0,5,67,0,22,5
7,Maule,73,Curicó,7308,Teno,12.501,12.145,258,0,1,2,4,40,3,46,2
7,Maule,73,Curicó,7309,Vichuquén,4.422,4.132,255,0,1,0,3,12,0,17,2
7,Maule,74,Linares,7401,Linares,41.380,38.129,1.708,133,1.003,3,51,74,6,247,26
7,Maule,74,Linares,7402,Colbún,10.583,10.004,509,2,1,0,5,27,0,31,4
7,Maule,74,Linares,7403,Longaví,14.133,13.875,170,2,5,1,2,35,0,41,2
7,Maule,74,Linares,7404,Parral,20.794,19.540,767,2,345,3,9,45,3,67,13
7,Maule,74,Linares,7405,Retiro,10.149,9.875,210,4,1,0,3,27,1,27,1
7,Maule,74,Linares,7406,San Javier,22.233,21.572,285,11,186,5,13,32,3,119,7
7,Maule,74,Linares,7407,Villa Alegre,8.164,8.006,117,2,0,1,2,16,0,20,0
7,Maule,74,Linares,7408,Yerbas Buenas,8.088,7.945,96,0,2,0,2,15,1,25,2
16,Ñuble,161,Diguillín,16101,Chillán,81.042,69.092,3.386,2.607,5.484,5,87,96,10,217,58
16,Ñuble,161,Diguillín,16102,Bulnes,10.531,9.759,415,80,140,0,3,85,2,43,4
16,Ñuble,161,Diguillín,16103,Chillán Viejo,13.027,11.932,388,5,611,0,0,39,10,32,10
16,Ñuble,161,Diguillín,16104,El Carmen,6.212,6.139,46,0,1,0,1,9,0,10,6
16,Ñuble,161,Diguillín,16105,Pemuco,4.204,3.889,142,0,0,0,0,17,1,153,2
16,Ñuble,161,Diguillín,16106,Pinto,7.664,6.844,774,10,4,1,4,5,0,13,9
16,Ñuble,161,Diguillín,16107,Quillón,13.489,12.332,1.073,2,0,0,3,38,1,34,6
16,Ñuble,161,Diguillín,16108,San Ignacio,7.990,7.802,149,2,0,0,3,20,1,12,1
16,Ñuble,161,Diguillín,16109,Yungay,10.342,10.112,154,3,8,2,4,21,0,31,7
16,Ñuble,162,Itata,16201,Quirihue,5.628,5.375,106,31,14,0,3,47,2,44,6
16,Ñuble,162,Itata,16202,Cobquecura,3.897,3.778,82,0,0,1,1,6,3,20,6
16,Ñuble,162,Itata,16203,Coelemu,7.087,6.908,127,0,2,1,3,19,0,25,2
16,Ñuble,162,Itata,16204,Ninhue,2.908,2.865,29,0,1,0,2,2,0,8,1
16,Ñuble,162,Itata,16205,Portezuelo,2.700,2.611,33,8,0,0,0,18,0,28,2
16,Ñuble,162,Itata,16206,Ránquil,3.563,3.220,294,0,0,0,2,9,1,34,3
16,Ñuble,162,Itata,16207,Trehuaco,3.053,3.014,13,1,0,0,0,12,0,13,0
16,Ñuble,163,Punilla,16301,San Carlos,23.905,21.945,1.041,28,394,2,3,37,13,431,11
16,Ñuble,163,Punilla,16302,Coihueco,12.130,11.519,281,1,6,0,1,25,0,296,1
16,Ñuble,163,Punilla,16303,Ñiquén,6.008,5.518,444,0,5,0,0,11,3,26,1
16,Ñuble,163,Punilla,16304,San Fabián,3.137,2.975,104,1,1,0,0,37,1,17,1
16,Ñuble,163,Punilla,16305,San Nicolás,6.328,6.132,140,1,4,4,3,11,2,29,2
